"url","section","title_or_h1","primary_audience","primary_action","keep_cut_merge","content_status","template_guess","notes"
"about.html","root","A small, senior team allergic to theater.","business-buyer","start a build / contact","keep","real","landing","Strong trust page; clear anti-slop positioning and team principles."
"blog/buy-build-or-pilot.html","blog","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub from retired pilot language; no article content."
"blog/how-to-use-claude-effectively.html","blog","How to use Claude without wasting time","general","read next article","keep","real","long-form","Useful Claude how-to with concrete prompting steps."
"blog/index.html","blog","How we think, in the open.","general","read next article","keep","real","list-index","Strong field-notes index; explains why posts exist."
"blog/measure-ai-honestly.html","blog","How to measure an AI system honestly: a field guide","business-buyer","start a build / contact","keep","real","long-form","Substantive measurement article aligned with DPR proof promise."
"blog/no-lock-in.html","blog","No lock-in, on purpose: the setup that lets you fire us","business-buyer","start a build / contact","keep","real","long-form","Strong ownership argument; supports pricing and method pages."
"blog/own-vs-rent-ai.html","blog","Own it or rent it: the real cost of AI you don't control","business-buyer","read next article","keep","real","long-form","Useful ownership explainer; overlaps lightly with own-it.html but is article-shaped."
"blog/the-one-number.html","blog","The one number: how we pick the metric that decides a build","business-buyer","start a build / contact","keep","real","long-form","Core metric philosophy page; important proof-method support."
"blog/two-week-pilot.html","blog","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub; old pilot URL now points to contact."
"blog/what-investors-want.html","blog","What investors actually look for in an AI startup","founder","read next article","keep","real","long-form","Founder-facing investor-screening article with clear evaluation criteria."
"blog/why-ai-projects-die.html","blog","Why most AI projects die as a demo (and the five questions that predict it)","business-buyer","start a build / contact","keep","real","long-form","Strong demo-to-production failure article; fits anti-slop message."
"build-buy-rent.html","root","AI: build vs buy vs rent — an honest decision tree.","business-buyer","start a build / contact","keep","real","long-form","Decision-tree page is useful for buyers comparing build, buy, and rent."
"case-studies.html","root","One number, agreed before we wrote a line of code.","business-buyer","start a build / contact","keep","real","proof-case","Strong anonymized proof page centered on one measured outcome."
"contact.html","root","Tell us one task your team dreads.","business-buyer","start a build / contact","keep","real","landing","Clear lead-capture page; primary form/email path is obvious."
"cost-of-inaction.html","root","See what not using AI is costing you.","business-buyer","start a build / contact","keep","real","tool","Cost-of-inaction calculator is distinct from AI runtime cost tool."
"cost/index.html","cost","What will your AI feature cost to run?","business-buyer","estimate AI feature cost","keep","real","tool","Interactive cost estimator has a clear follow-up to teardown/contact."
"dataroom.html","root","Invest in DPR AI.","investor","download deck","keep","real","landing","Public investor-room landing with business model and deck links."
"dataroom/compliance.html","dataroom","Compliance & legal — the broker-dealer firewall, honestly","investor","return to data room","keep","real","dataroom-doc","Substantive broker-dealer firewall explanation; useful investor diligence page."
"dataroom/deck-dpr.html","dataroom","We build AI that works, and we know the investors.","investor","download deck","keep","real","dataroom-doc","Main 12-slide investor deck; stronger than alternate angel deck."
"dataroom/dpr-deck/index.html","dataroom","We build AI that works — and we know the investors.","investor","download deck","merge:dataroom/deck-dpr.html","real","dataroom-doc","Alternate 10-slide angel deck duplicates the main investor deck."
"dataroom/faq.html","dataroom","FAQ & risk factors — the hard questions, answered","investor","return to data room","keep","real","dataroom-doc","Direct diligence FAQ; includes real risk framing instead of hype."
"dataroom/index.html","dataroom","Built to stand on its own.","investor","open data room document","keep","real","list-index","Clean confidential index for the investor document set."
"dataroom/market.html","dataroom","Market & competition","investor","return to data room","keep","real","dataroom-doc","Market page names narrow regulated-buyer focus and competition."
"dataroom/model-dpr.html","dataroom","DPR AI — Business & financial model","investor","return to data room","keep","real","dataroom-doc","Detailed model page; includes pricing lines and financial mechanics."
"dataroom/summary-dpr.html","dataroom","An AI consulting firm you can measure, plus the investor network behind it.","investor","return to data room","keep","real","dataroom-doc","Executive summary is concise and useful as investor entry point."
"dataroom/team.html","dataroom","Team & story","investor","return to data room","keep","thin","dataroom-doc","Honest placeholders for team details, but still thin for diligence."
"design/previews/agenticloops-light.html","design","An engineered instrument , not another AI hero.","internal","none-defined","cut","real","other","Internal design-system preview; not a public marketing destination."
"design/previews/blueprint.html","design","An engineered instrument , not another AI hero.","internal","none-defined","cut","real","other","Internal token preview duplicate with no public CTA."
"design/previews/ink-violet-light.html","design","An engineered instrument , not another AI hero.","internal","none-defined","cut","real","other","Internal color-direction preview; should not sit in public IA."
"design/previews/pine.html","design","An engineered instrument , not another AI hero.","internal","none-defined","cut","real","other","Internal visual-direction preview; no buyer or investor journey."
"design/previews/vermillion.html","design","An engineered instrument , not another AI hero.","internal","none-defined","cut","real","other","Internal visual-direction preview; duplicate structure of other previews."
"free/index.html","free","Free AI you actually own.","business-buyer","download free agent","keep","real","landing","Free-tools hub explains the owned-agent offer and points to score/cost tools."
"glossary/index.html","glossary","AI words, in plain English.","general","read definitions","keep","thin","list-index","Helpful plain-English glossary, but entries are very short."
"guide/index.html","guide","Learn to use AI at work.","general","start free AI guide","keep","real","list-index","Strong beginner guide index with clear lesson promise."
"guide/what-ai-actually-is.html","guide","What AI is and where it breaks","general","read next lesson","keep","real","long-form","Useful first lesson explaining AI limits and failure modes."
"guide/your-first-15-minutes.html","guide","Your first 15 minutes with an AI assistant","general","read next lesson","keep","real","long-form","Practical starter lesson with clear beginner outcome."
"index.html","root","Production AI your business actually owns.","business-buyer","start a build / contact","keep","real","landing","Homepage has strong owned-AI positioning and multiple conversion paths."
"investors.html","root","We do not sell introductions.","investor","request investor access","keep","real","landing","Investor-matching page clearly separates introductions from selling access."
"kb/ai-for-small-business.html","kb","AI for small business: a plain starting guide","business-buyer","read next article","keep","real","long-form","Plain small-business starter guide with sensible build-vs-buy advice."
"kb/ai-governance-and-compliance.html","kb","AI governance and compliance: what it means, and when you need it","business-buyer","start a build / contact","keep","real","long-form","Governance explainer is concrete and buyer-relevant."
"kb/ai-governance-framework.html","kb","AI governance framework: the plain version","business-buyer","start a build / contact","keep","real","long-form","Framework article overlaps governance page but adds usable checklist structure."
"kb/flat-subscription-dealflow-explained.html","kb","Flat-subscription dealflow vs. success fees: the clean line","investor","request investor access","keep","real","long-form","Investor compliance explainer supports the no-success-fee model."
"kb/how-to-measure-ai-roi.html","kb","Measure AI ROI without fooling yourself","business-buyer","start a build / contact","keep","real","long-form","ROI article supports the one-number measurement promise."
"kb/how-to-write-ai-use-policy.html","kb","Write a simple AI use policy your team will follow","business-buyer","start a build / contact","keep","real","long-form","Useful policy template article; fits governance cluster."
"kb/index.html","kb","Build, measure, and own AI — the reference layer.","business-buyer","read reference article","keep","real","list-index","Reference index is organized around buyer and investor questions."
"kb/is-your-ai-feature-good-enough.html","kb","Is your AI feature good enough to ship?","business-buyer","score AI feature","keep","real","long-form","Checklist connects well to score and cost tools."
"kb/what-custom-ai-automation-costs.html","kb","What custom AI automation costs","business-buyer","scope a build","keep","real","long-form","Cost explainer supports pricing page and contact CTA."
"kb/what-you-own-means.html","kb","What ownership means in an AI build","business-buyer","start a build / contact","keep","real","long-form","Ownership explainer is central to DPR differentiation."
"learn/index.html","learn","Practice AI. Don't just read about it.","general","build a prompt","keep","real","tool","Hands-on prompt builder is distinct from the reading guide."
"method.html","root","The Owned-AI Method","business-buyer","start a build / contact","keep","real","landing","Core method page is strong and explains the six-module delivery model."
"news/index.html","news","The AI news that actually matters.","general","read AI news","keep","real","list-index","News page has a clear curation promise and contact bridge."
"onepager-dpr.html","root","We build AI that runs your business, and we prove it works. DPR is an AI consult","investor","start the conversation","keep","real","dataroom-doc","Investor one-pager is concise and shareable."
"own-it.html","root","You own it: what client-owned AI really means.","business-buyer","start a build / contact","keep","real","long-form","Strong client-owned AI page; pillar content for no-lock-in message."
"pilot-scoping-guide.html","root","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub from old pilot-scoping page; no standalone content."
"pilot.html","root","Redirecting to DPR AI","business-buyer","start a build / contact","merge:contact.html","placeholder","other","Redirect stub from old pilot page; no standalone content."
"playbook.html","root","The automation field guide most vendors will not hand you.","business-buyer","score AI readiness","keep","real","long-form","Anti-slop playbook is substantive and useful as a diagnostic page."
"pricing.html","root","Start small. Pay more only when it works.","business-buyer","start a build / contact","keep","real","pricing","Pricing ladder is clear and aligned to proof-before-scale."
"proof.html","root","No borrowed logos. Numbers you can check.","business-buyer","start a build / contact","keep","real","proof-case","Proof page is important but could use more specific evidence artifacts."
"score/index.html","score","Is your AI feature any good — or is it slop?","business-buyer","score AI feature","keep","real","tool","Interactive scorecard has clear purpose despite short static text."
"slop.html","root","Most AI shipped today is slop.","business-buyer","start a build / contact","keep","real","landing","Strong manifesto page; distinctive anti-slop positioning."
"teardowns.html","root","Most AI builds don't die in the model.","business-buyer","book free teardown","keep","real","landing","Good diagnostic landing page with clear teardown invitation."
"train/dashboard.html","train","Your progress","general","view progress","keep","thin","tool","Progress dashboard is useful but has little standalone content."
"train/index.html","train","Learn AI by doing, not reading.","general","start training module","keep","broken","tool","Module cards reference missing assets/mods/${id}.png images."
"train/lesson.html","train","Loading…","general","complete lesson","keep","placeholder","tool","Dynamic lesson shell; static page only shows Loading without lesson data."
"train/module.html","train","Loading…","general","open lesson","keep","placeholder","tool","Dynamic module shell; static page only shows Loading without module data."
"what-investors-screen.html","root","What investors actually screen AI startups on (2026).","founder","read investor criteria","merge:blog/what-investors-want.html","real","long-form","Overlaps heavily with the stronger investor-screening blog article."
